;This file contains bonded parameters that can be assigned by Sobtop
;There are following fields in sequence: $BOND, $ANGLE, $DIHEDRAL, $HARM_DIH, $IMPROPER
;The lines beginning with semicolon are comment lines
;Between atom types there must be a - symbol
;GAFF parameters come from gaff.dat (Version 1.81, May 2017) in AmberTools 21
;AMBER parameters come from parm19.dat in AmberTools 21, corresponding to AMBER19SB with parmbsc0 and OL3


;Content between $BOND ... $end are parameters of bond terms
;Parameters should be given in AMBER/GAFF form: E_bond = k*(r-r0)^2
;Column 1: Two atom types
;Column 2: Force constant (k) in kcal/mol/A^2
;Column 3: Equilibrium bond distance (r0) in Angstrom
;Note that in GROMACS the potential is (1/2)*k*(r-r0)^2, so the k given below is half of that used in GROMACS
;To convert to k in GROMACS convention, the k in this section should be multiplied by 4.184*100*2
$BOND
c3-cy  232.49   1.5303
c3-f   334.28   1.3512
c3-h1  344.22   1.0969
c3-h2  347.02   1.0950
c3-h3  348.80   1.0938
c3-hc  345.25   1.0962
c3-hx  352.86   1.0911
c3-i    92.37   2.2260
c3-n1  283.85   1.4305
c3-n2  260.82   1.4566
c3-n   254.46   1.4643
c3-n3  255.85   1.4626
c3-n4  215.86   1.5167
c3-n7  255.52   1.4630
c3-n8  253.81   1.4651
c3-na  254.79   1.4639
c3-nc  269.3    1.4560
c3-nd  269.3    1.4560
c3-nh  256.92   1.4613
c3-nj  262.33   1.4548
c3-nk  222.99   1.5062
c3-nl  227.83   1.4993
c3-no  211.58   1.5232
c3-np  256.75   1.4615
c3-nq  263.26   1.4537
c3-ns  261.66   1.4556
c3-nu  258.82   1.4590
c3-nx  219.76   1.5109
c3-ny  222.43   1.5070
c3-nz  238.81   1.4843
c3-o   406.05   1.3206
c3-oh  285.15   1.4242
c3-os  282.27   1.4273
c3-p2  185.39   1.8725
c3-p3  186.36   1.8704
c3-p4  196.92   1.8485
c3-p5  199.23   1.8439
c3-px  197.52   1.8473
c3-py  201.07   1.8403
c3-s   184.13   1.8420
c3-s4  183.10   1.8442
c3-s6  198.48   1.8127
c3-sh  182.92   1.8446
c3-ss  184.74   1.8407
c3-sx  177.54   1.8564
c3-sy  198.12   1.8134
c5-c5  220.10   1.5483
c5-c6  226.47   1.5389
c5-ca  243.60   1.5151
c5-cc  251.51   1.5048
c5-cd  249.33   1.5076
c5-ce  241.66   1.5177
c5-cf  227.37   1.5376
c5-cl  163.96   1.8093
c5-cs  231.42   1.5318
c5-cx  231.85   1.5312
c5-cy  224.00   1.5425
c5-f   291.13   1.3917
c5-h1  343.78   1.0972
c5-h2  346.28   1.0955
c5-h3  345.84   1.0958
c5-hc  346.43   1.0954
c5-hx  351.96   1.0917
c5-i    91.50   2.2305
c5-n2  248.77   1.4714
c5-n   251.07   1.4685
c5-n3  249.40   1.4706
c5-n4  202.77   1.5371
c5-n7  249.40   1.4706
c5-n8  257.41   1.4607
c5-na  260.40   1.4571
c5-nh  249.24   1.4708
c5-nj  265.74   1.4508
c5-no  207.66   1.5293
c5-np  232.51   1.4928
c5-ns  262.59   1.4545
c5-nu  250.52   1.4692
c5-nx  213.47   1.5203
c5-ny  213.80   1.5198
c5-o   600.45   1.2147
c5-oh  289.69   1.4194
c5-os  275.61   1.4346
c5-p3  181.73   1.8805
c5-p5  188.38   1.8661
c5-py  191.77   1.8590
c5-s   190.58   1.8285
c5-s4  172.18   1.8686
c5-s6  171.83   1.8694
c5-sh  179.52   1.8520
c5-ss  180.02   1.8509
c5-sx  160.80   1.8961
c5-sy  179.61   1.8518
c6-c6  226.81   1.5384
c6-ca  239.73   1.5203
c6-cc  253.39   1.5024
c6-cd  250.49   1.5061
c6-ce  239.14   1.5211
c6-cf  235.86   1.5256
c6-cl  152.16   1.8384
c6-cs  221.44   1.5463
c6-cv  254.58   1.5009
c6-cx  234.27   1.5278
c6-cy  225.51   1.5403
c6-f   279.10   1.4043
c6-h1  342.02   1.0984
c6-h2  341.88   1.0985
c6-h3  345.84   1.0958
c6-hc  342.75   1.0979
c6-hx  349.85   1.0931
c6-i    86.32   2.2585
c6-n1  282.46   1.4320
c6-n2  258.07   1.4599
c6-n   252.36   1.4669
c6-n3  253.33   1.4657
c6-n4  207.21   1.5300
c6-n7  253.65   1.4653
c6-n8  251.96   1.4674
c6-na  251.64   1.4678
c6-nh  252.92   1.4662
c6-nj  258.98   1.4588
c6-nl  216.05   1.5164
c6-no  197.67   1.5455
c6-np  264.20   1.4526
c6-nq  261.32   1.4560
c6-ns  257.58   1.4605
c6-nu  257.49   1.4606
c6-nx  216.59   1.5156
c6-ny  205.01   1.5335
c6-nz  212.49   1.5218
c6-o   440.85   1.2976
c6-oh  285.25   1.4241
c6-os  279.78   1.4300
c6-p3  175.40   1.8948
c6-p5  197.67   1.8470
c6-py  195.04   1.8523
c6-s4  175.67   1.8606
c6-s6  192.98   1.8236
c6-sh  174.66   1.8629
c6-ss  184.31   1.8416
c6-sx  181.67   1.8473
c6-sy  194.23   1.8211
ca-ca  354.25   1.3986
ca-cc  296.50   1.4528
ca-cd  288.79   1.4610
ca-ce  271.85   1.4800
ca-cf  285.30   1.4648
ca-cg  317.41   1.4318
ca-ch  327.13   1.4226
ca-cl  187.98   1.7572
ca-cp  346.07   1.4056
ca-cq  354.25   1.3986
ca-cs  261.44   1.4924
ca-cx  258.91   1.4955
ca-cy  243.00   1.5159
ca-f   335.44   1.3502
ca-h4  356.82   1.0885
ca-h5  357.59   1.0880
ca-ha  360.69   1.0860
ca-i   107.06   2.1569
ca-n1  391.80   1.3353
ca-n2  374.30   1.3484
ca-n   291.11   1.4228
ca-n4  224.10   1.5046
ca-na  329.32   1.3858
ca-nb  386.49   1.3392
ca-nc  329.99   1.3852
ca-nd  328.65   1.3864
ca-ne  311.78   1.4021
ca-nf  303.79   1.4099
ca-nh  310.84   1.4030
ca-nj  307.96   1.4058
ca-nm  333.35   1.3822
ca-nn  341.71   1.3749
ca-no  250.20   1.4696
ca-ns  306.73   1.4070
ca-nu  319.92   1.3944
ca-nv  342.30   1.3744
ca-nx  235.08   1.4893
ca-ny  229.12   1.4975
ca-nz  240.55   1.4820
ca-o   549.99   1.2377
ca-oh  348.55   1.3644
ca-os  343.34   1.3688
ca-p2  176.9    1.8400
ca-p3  197.02   1.8483
ca-p4  194.7    1.8060
ca-p5  212.82   1.8181
ca-pe  199.89   1.8426
ca-pf  182.5    1.8290
ca-px  209.08   1.8250
ca-py  212.16   1.8193
ca-s2  241.81   1.7378
ca-s   234.96   1.7485
ca-s4  214.32   1.7832
ca-s6  190.14   1.8294
ca-sh  215.16   1.7817
ca-ss  213.48   1.7847
ca-sx  192.29   1.8250
ca-sy  209.82   1.7913
c -c1  250.88   1.5056
c -c   219.37   1.5494
c -c2  308.44   1.4406
c -c3  234.85   1.5270
c -c5  229.45   1.5346
c -c6  233.63   1.5287
c -ca  262.84   1.4907
c -cc  281.78   1.4687
cc-cc  322.02   1.4274
cc-cd  386.24   1.3730
cc-ce  296.31   1.4530
cc-cf  404.10   1.3598
cc-cg  330.38   1.4196
cc-ch  341.2    1.4270
cc-cl  199.24   1.7355
cc-cs  318.24   1.4310
cc-cx  281.42   1.4691
cc-cy  259.80   1.4944
c -cd  278.12   1.4728
c -ce  267.76   1.4848
c -cf  270.22   1.4819
cc-f   346.59   1.3408
c -cg  298.61   1.4506
c -ch  298.90   1.4503
cc-h4  368.72   1.0809
cc-h5  366.97   1.0820
cc-ha  364.12   1.0838
cc-hx  365.86   1.0827
cc-i   115.94   2.1205
c -cl  156.81   1.8266
cc-n1  416.60   1.3179
cc-n2  458.15   1.2914
cc-n   331.66   1.3837
cc-n4  226.49   1.5012
cc-na  335.50   1.3803
cc-nc  356.03   1.3629
cc-nd  419.72   1.3158
cc-ne  337.56   1.3785
cc-nf  456.66   1.2923
cc-nh  342.88   1.3739
cc-nm  298.70   1.4150
cc-no  284.50   1.4298
cc-ns  335.39   1.3804
cc-nu  339.63   1.3767
cc-nv  349.26   1.3685
cc-ny  242.00   1.4801
cc-o   594.24   1.2174
cc-oh  370.38   1.3468
cc-os  351.19   1.3622
cc-p3  205.42   1.8319
cc-p5  174.27   1.8974
cc-pc  225.00   1.7966
cc-pd  240.8    1.7330
cc-py  214.30   1.8154
cc-s2  213.20   1.7852
c -cs  226.19   1.5393
cc-s   255.97   1.7168
cc-s4  221.20   1.7712
cc-s6  197.76   1.8141
cc-sh  222.19   1.7695
cc-sq  217.90   1.7769
cc-ss  231.66   1.7538
cc-sx  200.07   1.8096
cc-sy  211.36   1.7885
c -cu  360.2    1.4120
c -cx  252.53   1.5035
c -cy  217.66   1.5520
cd-cd  321.49   1.4279
cd-ce  390.21   1.3700
cd-cf  292.52   1.4570
cd-cg  341.2    1.4270
cd-ch  332.57   1.4176
cd-cl  200.42   1.7333
cd-cs  314.42   1.4347
cd-cx  271.59   1.4803
cd-cy  251.27   1.5051
cd-f   342.74   1.3440
cd-h4  367.29   1.0818
cd-h5  366.81   1.0821
cd-ha  364.60   1.0835
cd-hx  370.00   1.0801
cd-i   117.44   2.1147
cd-n1  441.91   1.3014
cd-n2  466.04   1.2867
cd-n   335.05   1.3807
cd-n4  233.32   1.4917
cd-na  332.45   1.3830
cd-nc  417.79   1.3171
cd-nd  345.93   1.3713
cd-ne  438.58   1.3035
cd-nf  340.67   1.3758
cd-nh  323.92   1.3907
cd-nm  345.34   1.3718
cd-no  279.53   1.4352
cd-ns  339.86   1.3765
cd-nu  346.17   1.3711
cd-nv  347.00   1.3704
cd-o   589.69   1.2194
cd-oh  367.31   1.3492
cd-os  352.89   1.3608
cd-p3  205.42   1.8319
cd-p5  198.38   1.8456
cd-pc  265.77   1.7338
cd-py  211.94   1.8197
cd-s6  197.86   1.8139
cd-sh  223.3    1.7690
cd-ss  226.53   1.7622
cd-sx  198.89   1.8119
cd-sy  216.58   1.7792
ce-ce  288.33   1.4615
ce-cf  409.28   1.3561
ce-cg  322.02   1.4274
ce-ch  382.57   1.3758
ce-cl  184.96   1.7633
ce-cs  259.07   1.4953
ce-cu  487.08   1.3066
ce-cv  404.10   1.3598
ce-cx  253.08   1.5028
ce-cy  242.11   1.5171
ce-f   333.01   1.3523
ce-h4  352.41   1.0914
ce-h5  355.29   1.0895
ce-ha  357.59   1.0880
ce-i   100.30   2.1872
ce-n1  427.12   1.3109
ce-n2  464.18   1.2878
ce-n   294.00   1.4198
ce-na  292.46   1.4214
ce-ne  322.51   1.3920
ce-nf  441.43   1.3017
ce-nh  328.87   1.3862
ce-nj  289.01   1.4250
ce-nm  314.81   1.3992
ce-no  255.44   1.4631
ce-ns  312.40   1.4015
ce-nu  313.24   1.4007
ce-nv  326.88   1.3880
ce-nx  245.47   1.4756
ce-o   635.91   1.1999
ce-oh  359.14   1.3557
ce-os  339.49   1.3721
ce-p2  190.4    1.8140
ce-p5  182.77   1.8782
ce-pe  174.45   1.8970
ce-px  192.94   1.8566
ce-py  218.04   1.8087
